subject,accuracy,macro_f1,n_samples
S3,1.0,1.0,107
S8,1.0,1.0,90
S6,0.9655172413793104,0.9187675070028011,116
S5,0.9615384615384616,0.9174603174603174,103
S17,0.96,0.9169435215946844,97
S11,0.9545454545454546,0.915057915057915,86
S4,0.9259259259259259,0.8532608695652174,106
S2,0.92,0.7282608695652174,100
S16,0.9130434782608695,0.8083333333333333,92
S14,0.9130434782608695,0.8083333333333333,91
S13,0.9130434782608695,0.7261904761904762,91
S7,0.9090909090909091,0.725,86
S9,0.8636363636363636,0.4634146341463415,86
S15,0.8636363636363636,0.6615384615384616,86
S10,0.8260869565217391,0.6166666666666667,90
